Disaster Group,Disaster Type,Country,Country Code,Total Deaths,Total Damage,Year,NY.GDP.PCAP,CO2 emissions (kt)
Natural,Flood,Angola,AGO,31,16995,2000,556.8842435,16204.16
Natural,Flood,Bangladesh,BGD,31,849753,2000,413.1001853,20686.7
Natural,Flood,Mozambique,MOZ,800,712433,2000,333.7751383,1426.9
Natural,Storm,Mozambique,MOZ,17,1700,2000,333.7751383,1426.9
Natural,Wildfire,South Africa,ZAF,13,16995,2000,3241.661396,284463.3
Natural,Flood,South Africa,ZAF,83,271921,2000,3241.661396,284463.3
Natural,Mass movement (wet),Brazil,BRA,60,127463,2000,3726.811669,313670.8
Natural,Flood,India,IND,867,73079,2000,442.0347789,937858.4
Natural,Flood,India,IND,179,294014,2000,442.0347789,937858.4
Natural,Flood,India,IND,884,1175208,2000,442.0347789,937858.4
Natural,Drought,India,IND,20,999309,2000,442.0347789,937858.4
Natural,Flood,Romania,ROU,13,850,2000,1659.929049,89003.1
Natural,Flood,Romania,ROU,9,169951,2000,1659.929049,89003.1
Natural,Drought,Romania,ROU,13,849753,2000,1659.929049,89003.1
Natural,Extreme temperature,Bulgaria,BGR,7,85,2000,1621.262107,43421.1
Natural,Wildfire,Bulgaria,BGR,7,29911,2000,1621.262107,43421.1
Natural,Earthquake,China,CHN,7,124914,2000,959.3604313,3346525.8
Natural,Earthquake,China,CHN,1,821,2000,959.3604313,3346525.8
Natural,Storm,China,CHN,9,5268,2000,959.3604313,3346525.8
Natural,Flood,China,CHN,15,20394,2000,959.3604313,3346525.8
Natural,Storm,China,CHN,26,8498,2000,959.3604313,3346525.8
Natural,Flood,China,CHN,34,37389,2000,959.3604313,3346525.8
Natural,Flood,China,CHN,43,32291,2000,959.3604313,3346525.8
Natural,Flood,China,CHN,33,101970,2000,959.3604313,3346525.8
Natural,Storm,China,CHN,11,816,2000,959.3604313,3346525.8
Natural,Flood,China,CHN,203,292315,2000,959.3604313,3346525.8
Natural,Earthquake,China,CHN,1,73079,2000,959.3604313,3346525.8
Natural,Storm,China,CHN,10,22583,2000,959.3604313,3346525.8
Natural,Storm,China,CHN,11,118019,2000,959.3604313,3346525.8
Natural,Storm,China,CHN,4,17,2000,959.3604313,3346525.8
Natural,Storm,China,CHN,47,287216,2000,959.3604313,3346525.8
Natural,Mass movement (wet),China,CHN,14,4079,2000,959.3604313,3346525.8
Natural,Flood,China,CHN,10,43110,2000,959.3604313,3346525.8
Natural,Drought,China,CHN,13,1353002,2000,959.3604313,3346525.8
Natural,Flood,Philippines,PHL,50,6934,2000,1073.264436,71942.8
Natural,Volcanic activity,Philippines,PHL,13,3763,2000,1073.264436,71942.8
Natural,Storm,Philippines,PHL,12,2041,2000,1073.264436,71942.8
Natural,Storm,Philippines,PHL,11,12746,2000,1073.264436,71942.8
Natural,Storm,Philippines,PHL,75,43784,2000,1073.264436,71942.8
Natural,Storm,Philippines,PHL,154,28892,2000,1073.264436,71942.8
Natural,Storm,Philippines,PHL,94,52685,2000,1073.264436,71942.8
Natural,Storm,Philippines,PHL,48,1700,2000,1073.264436,71942.8
Natural,Flood,Botswana,BWA,3,8498,2000,3351.696517,4033.8
Natural,Storm,Mongolia,MNG,4,135960,2000,463.8538819,8996.67
Natural,Flood,Russian Federation,RUS,13,8961,2000,1771.594116,1563845.6
Natural,Flood,Russian Federation,RUS,13,11897,2000,1771.594116,1563845.6
Natural,Flood,Russian Federation,RUS,2,50985,2000,1771.594116,1563845.6
Natural,Earthquake,Russian Federation,RUS,13,1564,2000,1771.594116,1563845.6
Natural,Flood,Russian Federation,RUS,13,2757,2000,1771.594116,1563845.6
Natural,Storm,Russian Federation,RUS,9,85,2000,1771.594116,1563845.6
Natural,Drought,Afghanistan,AFG,37,85,2000,182.1740366,1078.12
Natural,Drought,Bosnia and Herzegovina,BIH,13,268522,2000,1332.210217,13955.1
Natural,Earthquake,Iceland,ISL,13,20394,2000,32096.37226,2225.44
Natural,Earthquake,Iceland,ISL,13,20394,2000,32096.37226,2225.44
Natural,Mass movement (wet),Indonesia,IDN,34,19714,2000,770.8653516,280635.7
Natural,Earthquake,Indonesia,IDN,45,50985,2000,770.8653516,280635.7
Natural,Flood,Indonesia,IDN,126,134261,2000,770.8653516,280635.7
Natural,Earthquake,Indonesia,IDN,103,69680,2000,770.8653516,280635.7
Natural,Earthquake,Indonesia,IDN,13,3399,2000,770.8653516,280635.7
Natural,Mass movement (wet),Indonesia,IDN,40,73079,2000,770.8653516,280635.7
Natural,Flood,Indonesia,IDN,100,57783,2000,770.8653516,280635.7
Natural,Flood,Zimbabwe,ZWE,70,123894,2000,565.2843897,13578.9
Natural,Storm,Israel,ISR,3,4674,2000,21630.74761,56997.3
Natural,Flood,Eswatini,SWZ,13,85,2000,1686.657532,1090.6
Natural,Storm,Australia,AUS,1,152955,2000,21870.41597,339422.8
Natural,Storm,Australia,AUS,13,101970,2000,21870.41597,339422.8
Natural,Infestation,Australia,AUS,13,203941,2000,21870.41597,339422.8
Natural,Flood,Australia,AUS,13,450369,2000,21870.41597,339422.8
Natural,Storm,Madagascar,MDG,130,15296,2000,285.4664632,1654.02
Natural,Flood,Nigeria,NGA,13,3229,2000,563.0470862,97215.1
Natural,Flood,Nigeria,NGA,13,8166,2000,563.0470862,97215.1
Natural,Storm,Mexico,MEX,23,1700,2000,7581.845641,379176.0
Natural,Flood,Argentina,ARG,13,509852,2000,7666.517834,132265.5
Natural,Flood,Malawi,MWI,13,1700,2000,225.9524567,875.23
Natural,Storm,Austria,AUT,13,33990,2000,24625.60072,63538.6
Natural,Flood,Malaysia,MYS,12,1700,2000,4087.562593,124355.9
Natural,Flood,Czechia,CZE,13,135960,2000,6029.038193,124716.7
Natural,Storm,Japan,JPN,13,594827,2000,39169.35957,1184424.9
Natural,Storm,Japan,JPN,4,509852,2000,39169.35957,1184424.9
Natural,Storm,Japan,JPN,9,2379308,2000,39169.35957,1184424.9
Natural,Flood,Japan,JPN,18,12644320,2000,39169.35957,1184424.9
Natural,Earthquake,Japan,JPN,13,849753,2000,39169.35957,1184424.9
Natural,Flood,Turkey,TUR,2,67980,2000,4278.263113,216396.5
Natural,Extreme temperature,Turkey,TUR,11,1700,2000,4278.263113,216396.5
Natural,Flood,Hungary,HUN,1,93473,2000,4624.281657,54633.3
Natural,Flood,Kazakhstan,KAZ,13,2549,2000,1229.000961,120151.999
Natural,Extreme temperature,Belarus,BLR,13,51495,2000,1276.280381,52967.5
Natural,Extreme temperature,Greece,GRC,27,5099,2000,12072.92936,94460.6
Natural,Flood,Chile,CHL,15,50985,2000,5102.968761,50424.5
Natural,Extreme temperature,Chile,CHL,13,16995,2000,5102.968761,50424.5
Natural,Extreme temperature,Croatia,HRV,40,407881,2000,4952.377753,18034.4
Natural,Wildfire,Croatia,HRV,1,30166,2000,4952.377753,18034.4
Natural,Extreme temperature,Ukraine,UKR,13,144458,2000,658.3446045,297376.8
Natural,Storm,Ukraine,UKR,4,203941,2000,658.3446045,297376.8
Natural,Storm,Nicaragua,NIC,1,1700,2000,996.897852,3768.0
Natural,Flood,Spain,ESP,8,127463,2000,14749.68742,293314.3
Natural,Flood,Viet Nam,VNM,460,424876,2000,394.5831366,51207.7
Natural,Storm,Viet Nam,VNM,15,8498,2000,394.5831366,51207.7
Natural,Storm,Viet Nam,VNM,13,59,2000,394.5831366,51207.7
Natural,Storm,Viet Nam,VNM,5,35690,2000,394.5831366,51207.7
Natural,Flood,Viet Nam,VNM,36,25493,2000,394.5831366,51207.7
Natural,Flood,Thailand,THA,47,86760,2000,2004.107059,168941.4
Natural,Flood,Thailand,THA,51,97722,2000,2004.107059,168941.4
Natural,Flood,Thailand,THA,9,860,2000,2004.107059,168941.4
Natural,Storm,Canada,CAN,11,22094,2000,24271.00206,514215.1
Natural,Flood,Cambodia,KHM,347,271921,2000,301.5165985,1963.0
Natural,Flood,Nepal,NPL,144,10707,2000,223.7118919,3221.0
Natural,Extreme temperature,Morocco,MAR,13,1375,2000,1492.377075,32876.5
Natural,Storm,Ireland,IRL,1,169951,2000,26334.56721,42533.5
Natural,Flood,New Zealand,NZL,13,1700,2000,13641.10272,29455.0
Natural,Flood,Italy,ITA,25,13596043,2000,20137.59122,436296.6
Natural,Flood,Italy,ITA,5,84975,2000,20137.59122,436296.6
Natural,Flood,Sri Lanka,LKA,3,5099,2000,869.7534886,10928.9
Natural,Flood,Panama,PAN,1,2209,2000,4099.00654,5282.7
Natural,Wildfire,North Macedonia,MKD,13,23050,2000,1861.898998,8522.1
Natural,Storm,Belize,BLZ,14,471545,2000,4720.168218,425.2
Natural,Mass movement (wet),Switzerland,CHE,16,560837,2000,38865.02194,43708.8
Natural,Drought,Tajikistan,TJK,13,96872,2000,137.1819092,2200.97
Natural,Earthquake,Azerbaijan,AZE,31,16995,2000,655.0972496,27687.2
Natural,Drought,Azerbaijan,AZE,13,169951,2000,655.0972496,27687.2
Natural,Drought,Jamaica,JAM,13,10197,2000,3447.303896,10071.4
Natural,Drought,Uzbekistan,UZB,13,84975,2000,558.2268024,123804.5
Natural,Drought,Armenia,ARM,13,169951,2000,603.2980252,3561.0
Natural,Drought,Georgia,GEO,13,339901,2000,749.908535,4772.8
Natural,Storm,China,CHN,49,19834,2001,1053.112314,3529081.3
Natural,Earthquake,China,CHN,3,39667,2001,1053.112314,3529081.3
Natural,Earthquake,China,CHN,2,51237,2001,1053.112314,3529081.3
Natural,Earthquake,China,CHN,2,59501,2001,1053.112314,3529081.3
Natural,Flood,China,CHN,29,128918,2001,1053.112314,3529081.3
Natural,Storm,China,CHN,125,776814,2001,1053.112314,3529081.3
Natural,Flood,China,CHN,11,39667,2001,1053.112314,3529081.3
Natural,Storm,China,CHN,33,4533616,2001,1053.112314,3529081.3
Natural,Flood,China,CHN,35,28098,2001,1053.112314,3529081.3
Natural,Mass movement (wet),China,CHN,19,99168,2001,1053.112314,3529081.3
Natural,Flood,China,CHN,46,8264,2001,1053.112314,3529081.3
Natural,Storm,China,CHN,100,66112,2001,1053.112314,3529081.3
Natural,Storm,China,CHN,13,140488,2001,1053.112314,3529081.3
Natural,Flood,China,CHN,27,495838,2001,1053.112314,3529081.3
Natural,Flood,China,CHN,66,276017,2001,1053.112314,3529081.3
Natural,Flood,China,CHN,166,198335,2001,1053.112314,3529081.3
Natural,Storm,China,CHN,6,39667,2001,1053.112314,3529081.3
Natural,Storm,China,CHN,4,352045,2001,1053.112314,3529081.3
Natural,Earthquake,India,IND,20005,4335281,2001,449.9111249,953537.3
Natural,Flood,India,IND,100,148752,2001,449.9111249,953537.3
Natural,Flood,India,IND,86,193251,2001,449.9111249,953537.3
Natural,Flood,India,IND,158,42973,2001,449.9111249,953537.3
Natural,Flood,India,IND,48,42973,2001,449.9111249,953537.3
Natural,Flood,India,IND,146,170238,2001,449.9111249,953537.3
Natural,Storm,Argentina,ARG,16,24792,2001,7168.975872,125255.2
Natural,Flood,Argentina,ARG,1,1239596,2001,7168.975872,125255.2
Natural,Earthquake,El Salvador,SLV,844,2479192,2001,2051.158774,5868.6
Natural,Earthquake,El Salvador,SLV,315,575999,2001,2051.158774,5868.6
Natural,Drought,El Salvador,SLV,13,37023,2001,2051.158774,5868.6
Natural,Volcanic activity,Italy,ITA,13,5124,2001,20500.9544,436571.4
Natural,Storm,Italy,ITA,13,289239,2001,20500.9544,436571.4
Natural,Flood,Italy,ITA,2,165279,2001,20500.9544,436571.4
Natural,Extreme temperature,Russian Federation,RUS,145,165,2001,2100.352539,1567172.0
Natural,Flood,Russian Federation,RUS,10,398324,2001,2100.352539,1567172.0
Natural,Storm,Russian Federation,RUS,13,28428,2001,2100.352539,1567172.0
Natural,Flood,Russian Federation,RUS,11,54542,2001,2100.352539,1567172.0
Natural,Flood,Russian Federation,RUS,16,28098,2001,2100.352539,1567172.0
Natural,Flood,Mozambique,MOZ,79,59501,2001,310.0950625,1411.5
Natural,Earthquake,Guatemala,GTM,6,83,2001,1550.361747,9840.0
Natural,Storm,Guatemala,GTM,8,165,2001,1550.361747,9840.0
Natural,Drought,Guatemala,GTM,41,23139,2001,1550.361747,9840.0
Natural,Flood,Malawi,MWI,59,11074,2001,217.2404733,847.28
Natural,Earthquake,Pakistan,PAK,12,826,2001,610.1432316,99837.2
Natural,Flood,Pakistan,PAK,210,406588,2001,610.1432316,99837.2
Natural,Extreme temperature,Afghanistan,AFG,150,17,2001,182.1740366,1088.638
Natural,Flood,Australia,AUS,1,19834,2001,19695.72974,345609.4
Natural,Storm,Australia,AUS,1,10908,2001,19695.72974,345609.4
Natural,Flood,Australia,AUS,13,21486,2001,19695.72974,345609.4
Natural,Flood,Australia,AUS,3,330559,2001,19695.72974,345609.4
Natural,Wildfire,Australia,AUS,13,148752,2001,19695.72974,345609.4
Natural,Flood,Kenya,KEN,4,63,2001,408.3606087,7879.7
Natural,Mass movement (wet),Indonesia,IDN,122,16528,2001,739.0039465,302055.0
Natural,Flood,Indonesia,IDN,130,16528,2001,739.0039465,302055.0
Natural,Flood,Chile,CHL,13,14710,2001,4610.592695,48425.1
Natural,Storm,Philippines,PHL,55,9917,2001,991.1479821,70259.1
